iter	Passed	Remaining
0	134	134719
1	135	67561
2	135	45186
3	136	33970
4	136	27236
5	137	22759
6	137	19566
7	138	17161
8	138	15302
9	139	13803
10	140	12589
11	140	11567
12	140	10701
13	141	9961
14	141	9319
15	142	8761
16	142	8267
17	143	7830
18	144	7436
19	144	7099
20	145	6783
21	146	6495
22	146	6226
23	147	5981
24	147	5760
25	148	5552
26	148	5361
27	149	5181
28	149	5012
29	150	4854
30	150	4711
31	151	4579
32	151	4449
33	152	4328
34	152	4213
35	153	4106
36	153	4005
37	154	3907
38	154	3814
39	155	3726
40	155	3641
41	156	3566
42	157	3508
43	158	3437
44	158	3371
45	159	3306
46	160	3244
47	160	3182
48	160	3123
49	161	3067
50	161	3012
51	162	2959
52	162	2908
53	163	2860
54	163	2814
55	164	2768
56	164	2725
57	165	2684
58	165	2644
59	166	2605
60	166	2568
61	167	2531
62	167	2495
63	168	2460
64	168	2426
65	169	2396
66	169	2365
67	170	2334
68	170	2304
69	171	2275
70	171	2247
71	172	2221
72	172	2196
73	173	2170
74	173	2145
75	174	2121
76	175	2098
77	175	2076
78	176	2054
79	176	2032
80	177	2008
81	177	1987
82	177	1966
83	178	1946
84	178	1924
85	179	1904
86	179	1886
87	180	1868
88	180	1850
89	181	1832
90	181	1814
91	182	1798
92	182	1781
93	183	1764
94	183	1748
95	184	1733
96	184	1718
97	185	1703
98	185	1687
99	185	1673
100	186	1658
101	186	1643
102	187	1630
103	187	1619
104	188	1606
105	188	1592
106	189	1580
107	189	1568
108	190	1556
109	190	1543
110	191	1532
111	191	1520
112	192	1510
113	192	1498
114	193	1488
115	193	1477
116	194	1467
117	195	1457
118	195	1447
119	195	1437
120	196	1427
121	197	1417
122	197	1408
123	198	1399
124	198	1389
125	199	1380
126	199	1372
127	200	1363
128	200	1354
129	201	1346
130	201	1338
131	202	1330
132	202	1322
133	203	1315
134	203	1306
135	204	1299
136	205	1291
137	205	1283
138	205	1275
139	206	1268
140	206	1260
141	207	1253
142	208	1247
143	208	1239
144	209	1233
145	209	1226
146	210	1220
147	210	1213
148	211	1207
149	211	1200
150	212	1194
151	212	1187
152	213	1181
153	213	1174
154	214	1169
155	215	1163
156	215	1157
157	216	1151
158	216	1145
159	217	1139
160	217	1134
161	218	1129
162	218	1123
163	219	1117
164	219	1112
165	220	1106
166	220	1101
167	221	1095
168	221	1090
169	222	1085
170	222	1080
171	223	1075
172	223	1069
173	224	1064
174	224	1059
175	225	1054
176	225	1049
177	226	1044
178	226	1039
179	227	1035
180	227	1030
181	228	1026
182	229	1022
183	229	1017
184	230	1013
185	230	1009
186	231	1004
187	231	1000
188	232	996
189	232	992
190	233	988
191	233	984
192	234	980
193	234	976
194	235	972
195	236	968
196	236	964
197	237	960
198	237	957
199	238	953
200	238	949
201	239	946
202	240	942
203	240	938
204	241	934
205	241	931
206	242	927
207	242	923
208	243	920
209	243	916
210	244	913
211	244	909
212	245	905
213	245	902
214	246	898
215	246	895
216	247	892
217	247	888
218	248	885
219	248	881
220	249	878
221	249	875
222	250	871
223	250	868
224	251	865
225	251	862
226	252	859
227	252	856
228	253	854
229	254	850
230	254	847
231	255	844
232	255	841
233	256	838
234	256	835
235	257	832
236	257	830
237	258	827
238	259	824
239	259	822
240	260	818
241	260	815
242	260	813
243	261	809
244	261	806
245	262	804
246	262	801
247	263	798
248	263	796
249	264	793
250	264	790
251	265	788
252	266	785
253	266	783
254	267	780
255	267	778
256	268	775
257	268	773
258	269	770
259	269	768
260	270	765
261	270	763
262	271	760
263	272	758
264	272	756
265	273	754
266	274	752
267	274	750
268	275	747
269	275	745
270	276	742
271	276	740
272	277	737
273	277	735
274	278	733
275	278	731
276	279	728
277	279	727
278	280	724
279	280	722
280	281	720
281	281	717
282	282	715
283	282	713
284	283	711
285	284	709
286	284	707
287	285	705
288	285	703
289	286	701
290	286	698
291	287	696
292	287	694
293	288	692
294	288	690
295	289	687
296	289	685
297	290	683
298	290	681
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	667
306	295	666
307	295	664
308	296	662
309	296	660
310	297	658
311	297	656
312	298	654
313	298	652
314	299	650
315	299	648
316	300	646
317	300	645
318	301	643
319	301	641
320	302	639
321	302	637
322	303	635
323	303	633
324	304	631
325	305	630
326	305	628
327	306	627
328	306	625
329	306	623
330	307	621
331	307	619
332	308	617
333	309	616
334	309	614
335	310	613
336	310	611
337	311	610
338	312	608
339	312	606
340	313	605
341	313	603
342	314	601
343	314	599
344	314	597
345	315	596
346	315	594
347	316	592
348	316	591
349	317	589
350	318	588
351	318	586
352	319	585
353	319	583
354	320	581
355	320	580
356	321	578
357	321	576
358	322	575
359	322	573
360	322	571
361	323	569
362	323	568
363	324	567
364	325	565
365	325	563
366	326	562
367	326	560
368	327	559
369	327	557
370	328	556
371	328	554
372	328	552
373	329	551
374	329	549
375	330	548
376	330	546
377	331	545
378	332	544
379	332	542
380	332	540
381	333	539
382	333	537
383	334	536
384	334	534
385	335	533
386	335	531
387	336	530
388	336	528
389	337	527
390	337	525
391	338	524
392	338	522
393	338	521
394	339	520
395	340	518
396	340	517
397	340	515
398	341	514
399	341	512
400	342	511
401	342	510
402	343	508
403	343	507
404	344	505
405	344	504
406	345	502
407	345	501
408	346	500
409	346	498
410	347	497
411	347	496
412	348	494
413	348	493
414	349	492
415	349	490
416	350	489
417	350	488
418	351	487
419	351	485
420	352	484
421	352	483
422	353	481
423	353	480
424	354	479
425	354	477
426	355	476
427	355	475
428	356	474
429	356	473
430	357	471
431	358	470
432	358	469
433	359	468
434	359	467
435	359	465
436	360	464
437	360	463
438	362	462
439	362	461
440	363	460
441	363	459
442	364	458
443	364	456
444	365	455
445	365	454
446	366	453
447	366	451
448	367	450
449	367	449
450	368	448
451	368	446
452	368	445
453	369	444
454	370	443
455	370	442
456	371	440
457	371	439
458	372	438
459	372	437
460	373	436
461	373	435
462	374	434
463	374	432
464	375	431
465	376	430
466	376	429
467	377	428
468	377	427
469	378	426
470	378	425
471	379	424
472	379	422
473	380	421
474	380	420
475	381	419
476	381	418
477	381	417
478	382	415
479	383	414
480	383	413
481	384	412
482	384	411
483	385	410
484	385	409
485	386	408
486	386	407
487	387	406
488	387	405
489	388	404
490	388	402
491	389	401
492	389	400
493	390	399
494	390	398
495	391	397
496	391	396
497	391	395
498	392	393
499	392	392
500	393	391
501	393	390
502	394	389
503	394	388
504	395	387
505	396	386
506	396	385
507	397	384
508	397	383
509	398	382
510	398	381
511	399	380
512	399	379
513	400	378
514	400	377
515	401	376
516	401	375
517	402	374
518	402	373
519	403	372
520	403	371
521	404	370
522	404	369
523	405	368
524	405	367
525	406	366
526	406	365
527	407	364
528	407	363
529	408	362
530	408	360
531	409	359
532	409	358
533	409	357
534	410	356
535	411	355
536	411	354
537	412	353
538	412	352
539	413	351
540	413	350
541	413	349
542	414	348
543	414	347
544	415	346
545	415	345
546	416	345
547	417	344
548	417	343
549	418	342
550	418	341
551	419	340
552	419	339
553	420	338
554	420	337
555	421	336
556	421	335
557	422	334
558	422	333
559	423	332
560	423	331
561	424	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	325
567	427	324
568	427	323
569	428	323
570	428	322
571	429	321
572	429	320
573	430	319
574	430	318
575	431	317
576	431	316
577	432	315
578	432	314
579	433	313
580	433	312
581	434	311
582	434	310
583	435	310
584	435	309
585	436	308
586	436	307
587	437	306
588	437	305
589	438	304
590	438	303
591	439	302
592	439	301
593	440	300
594	441	300
595	441	299
596	442	298
597	442	297
598	443	296
599	443	295
600	443	294
601	444	293
602	445	293
603	445	292
604	446	291
605	446	290
606	447	289
607	447	288
608	448	287
609	448	287
610	449	286
611	450	285
612	450	284
613	451	283
614	451	282
615	452	281
616	452	280
617	453	280
618	453	279
619	453	278
620	454	277
621	454	276
622	455	275
623	455	274
624	456	273
625	456	272
626	457	271
627	457	271
628	458	270
629	458	269
630	458	268
631	459	267
632	459	266
633	460	265
634	461	265
635	461	264
636	462	263
637	462	262
638	463	261
639	463	260
640	464	260
641	464	259
642	465	258
643	465	257
644	466	256
645	467	255
646	467	255
647	468	254
648	468	253
649	469	252
650	469	251
651	469	250
652	470	249
653	470	249
654	471	248
655	471	247
656	472	246
657	473	245
658	473	245
659	474	244
660	474	243
661	475	242
662	475	241
663	476	241
664	476	240
665	477	239
666	477	238
667	478	237
668	478	236
669	479	236
670	480	235
671	480	234
672	481	233
673	481	233
674	482	232
675	482	231
676	483	230
677	489	232
678	489	231
679	490	230
680	490	229
681	491	229
682	491	228
683	492	227
684	492	226
685	493	225
686	493	224
687	494	224
688	495	223
689	495	222
690	496	221
691	496	221
692	497	220
693	497	219
694	498	218
695	498	217
696	499	217
697	499	216
698	500	215
699	500	214
700	501	213
701	501	213
702	502	212
703	502	211
704	503	210
705	504	209
706	504	209
707	505	208
708	505	207
709	506	206
710	506	205
711	507	205
712	507	204
713	508	203
714	508	202
715	509	202
716	509	201
717	510	200
718	510	199
719	511	198
720	512	198
721	512	197
722	513	196
723	513	195
724	514	195
725	514	194
726	515	193
727	515	192
728	516	191
729	516	191
730	517	190
731	517	189
732	518	188
733	518	187
734	519	187
735	519	186
736	520	185
737	520	184
738	521	184
739	521	183
740	522	182
741	522	181
742	523	181
743	523	180
744	524	179
745	525	178
746	526	178
747	526	177
748	527	176
749	527	175
750	528	175
751	528	174
752	529	173
753	529	172
754	530	172
755	530	171
756	531	170
757	532	169
758	532	169
759	533	168
760	533	167
761	534	166
762	534	166
763	535	165
764	535	164
765	536	163
766	536	162
