iter	Passed	Remaining
0	0	69
1	1	65
2	1	60
3	2	56
4	2	54
5	3	53
6	4	53
7	4	54
8	5	52
9	5	51
10	6	49
11	6	48
12	7	48
13	7	48
14	8	49
15	9	48
16	10	50
17	11	50
18	12	51
19	12	51
20	13	52
21	14	51
22	15	51
23	15	50
24	16	49
25	16	48
26	17	47
27	18	46
28	18	45
29	18	44
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	40
36	23	39
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	34	24
59	35	23
60	35	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	17
69	40	17
70	41	16
71	41	16
72	42	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	55	1
97	55	1
98	56	0
99	56	0
